TICKER,date_fin,gvkey,permnofin,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,roa,roe,roce,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,at_turn,rect_turn,pay_turn,sale_invcap,sale_nwc,rd_sale,divyield,sector,us_inst_crash,us_ind_crash,us_inst_valuation,us_ind_valuation,cshoc,cshtrd,prccd,market_value,xi_nominal,xi_real,wpc,spc
AAPL,2010-01-31,1690,14593,43.783,0.203,13.424,20.831,21.152,21.152,21.152,4.059,17.144,0.0,0.192,0.29,0.274,0.417,0.281,0.285,0.296,0.446,0.313,0.379,0.313,0.51,0.328,0.377,1.0,0.0,0.0,0.0,0.985,8.791,4.486,1.356,2.14,0.031,0.0,Technology,33.33,31.87,64.65,66.95,906090052.6315789,28372780.52631579,207.71573684210526,188207205150.3684,3290.902098,1501.467844,1661.0,37.0
AAPL,2010-02-28,1690,14593,48.834,0.202,10.239,0.701,0.714,0.714,0.714,3.973,15.46,0.0,0.2,0.303,0.286,0.426,0.29,0.311,0.341,0.51,0.357,0.341,0.357,0.595,0.365,0.413,1.0,0.0,0.0,0.0,0.969,10.891,5.155,1.589,2.368,0.03,0.0,Technology,32.55,32.06,66.67,64.94,906795000.0,20194961.57894737,198.795,180266312025.0,3146.2134459999997,1435.453871,3524.0,33.0
AAPL,2010-03-31,1690,14593,56.26,0.202,10.239,0.805,0.82,0.82,0.82,4.577,17.811,0.0,0.2,0.303,0.286,0.426,0.29,0.311,0.341,0.51,0.357,0.341,0.357,0.595,0.365,0.413,1.0,0.0,0.0,0.0,0.969,10.891,5.155,1.589,2.368,0.03,0.0,Technology,35.71,29.84,65.7,63.35,906795000.0,18805748.695652176,223.41064782608697,202587658395.4565,4466.36584,2037.770799,984.0,40.0
AAPL,2010-04-30,1690,14593,62.527,0.202,10.239,0.894,0.911,0.911,0.911,5.086,19.795,0.0,0.2,0.303,0.286,0.426,0.29,0.311,0.341,0.51,0.357,0.341,0.357,0.595,0.365,0.413,1.0,0.0,0.0,0.0,0.969,10.891,5.155,1.589,2.368,0.03,0.0,Technology,36.84,32.0,62.11,62.38,907842666.6666666,20946270.476190478,251.1485476190476,228018652606.7143,4213.516131,1922.408658,984.0,47.0
AAPL,2010-05-31,1690,14593,54.324,0.199,11.041,0.765,0.779,0.779,0.779,4.572,17.326,0.0,0.211,0.31,0.294,0.429,0.297,0.328,0.348,0.511,0.368,0.348,0.368,0.666,0.414,0.425,1.0,0.0,0.0,0.0,0.99,10.908,5.217,1.542,2.592,0.03,0.0,Technology,37.5,34.13,60.74,65.43,909938000.0,32211379.5,251.46120000000002,228814101405.6,4046.1372340000003,1846.0424309999999,886.0,43.0
AAPL,2010-06-30,1690,14593,53.4,0.199,11.041,0.749,0.763,0.763,0.763,4.494,17.031,0.0,0.211,0.31,0.294,0.429,0.297,0.328,0.348,0.511,0.368,0.348,0.368,0.666,0.414,0.425,1.0,0.0,0.0,0.0,0.99,10.908,5.217,1.542,2.592,0.03,0.0,Technology,34.07,33.49,59.38,65.64,909938000.0,26969569.09090909,261.14586363636363,237626544865.54544,5264.731734,2402.02385,852.0,51.0
AAPL,2010-07-31,1690,14593,54.619,0.199,11.041,0.766,0.78,0.78,0.78,4.597,17.42,0.0,0.211,0.31,0.294,0.429,0.297,0.328,0.348,0.511,0.368,0.348,0.368,0.666,0.414,0.425,1.0,0.0,0.0,0.0,0.99,10.908,5.217,1.542,2.592,0.03,0.0,Technology,33.83,30.92,63.49,63.87,911146333.3333334,26563278.57142857,254.94947619047622,232302149061.0476,4040.121768,1843.297852,942.0,39.0
AAPL,2010-08-31,1690,14593,45.656,0.204,11.432,0.646,0.657,0.654,0.654,3.89,13.861,0.0,0.214,0.307,0.291,0.424,0.294,0.339,0.345,0.501,0.369,0.345,0.369,0.73,0.46,0.433,1.0,0.0,0.0,0.0,1.023,10.892,5.101,1.524,2.826,0.029,0.0,Technology,36.0,27.88,69.66,67.96,913563000.0,15531335.454545455,251.32322727272728,229599601476.95456,5051.3895410000005,2304.686793,1244.0,63.0
AAPL,2010-09-30,1690,14593,53.431,0.204,11.432,0.753,0.767,0.763,0.763,4.553,16.222,0.0,0.214,0.307,0.291,0.424,0.294,0.339,0.345,0.501,0.369,0.345,0.369,0.73,0.46,0.433,1.0,0.0,0.0,0.0,1.023,10.892,5.101,1.524,2.826,0.029,0.0,Technology,33.06,28.28,66.39,67.21,913563000.0,20100827.61904762,273.85114285714286,250180271622.0,4578.925826,2089.126156,742.0,48.0
AAPL,2010-10-31,1690,14593,56.758,0.204,11.432,0.799,0.813,0.809,0.809,4.836,17.232,0.0,0.214,0.307,0.291,0.424,0.294,0.339,0.345,0.501,0.369,0.345,0.369,0.73,0.46,0.433,1.0,0.0,0.0,0.0,1.023,10.892,5.101,1.524,2.826,0.029,0.0,Technology,33.52,28.83,72.25,67.68,914721904.7619047,20650100.476190478,300.9342857142857,275278284659.5238,4823.28569,2200.614878,1099.0,41.0
